"id","standard","category","clause","page","question"
"HC011","JTG-T 3660-2020","direct","9.1.3","65","依据JTG-T 3660-2020，隧道衬砌施工中对中线与高程的控制应满足哪些基本要求，以避免影响结构安全与净空？"
"HC012","JTG-T 3660-2020","direct","17.1.2","179","依据JTG-T 3660-2020，隧道改扩建工程施工前需对哪些方面开展调查与核实？请列出全部核查内容范围。"
"HC013","JTG-T 3660-2020","direct","16.8.4","171","依据《公路隧道施工技术规范》（JTG/T 3660—2020），沙层隧道仰拱施工应采取哪些关键措施以抑制流沙并防止支护结构破坏？"
"HC014","JTG-T 3660-2020","direct","9.8.9","95","依据JTG-T 3660-2020，在衬砌钢筋安装过程中应采取何种措施以保障钢筋保护层厚度及受力有效性？"
"HC015","JTG-T 3660-2020","direct","9.3.9","76","依据JTG-T 3660-2020，锚杆垫板与喷射混凝土层之间存在间隙时，应采用何种材料进行填实？"
"HC016","JTG-T 3660-2020","table","9.6.11","86","依据JTG-T 3660-2020，混凝土拌和物中水泥与掺合料的每盘计量允许偏差应为多少？"
"HC017","JTG-T 3660-2020","table","7.2.1","45","依据JTG-T 3660-2020，对于双车道隧道，在Ⅴ级围岩条件下可选用哪些开挖方法？请列出所有适用的开挖方法名称。"
"HC018","JTG-T 3660-2020","direct","11.2.2","108","根据JTG-T 3660-2020，隧道开挖前对影响施工和运营的地表水应采取哪些处理措施？请列出具体处理对象及对应措施要求。"
"HC019","JTG-T 3660-2020","direct","7.1.7","45","根据JTG-T 3660-2020，隧道工程中爆破作业及爆破物品管理应符合哪些现行规范的要求？"
"HC020","JTG-T 3660-2020","direct","17.1.3","179","依据JTG-T 3660-2020，隧道改扩建工程施工时，为减小对既有建（构）筑物和设施的影响，应采取哪些措施？"
"HC021","JTG-T 3660-2020","table","18.1.7","184","依据JTG-T 3660-2020，隧道现场监控量测选测项目中，围岩内部位移（洞内设点）的测试精度及量测间隔时间应如何规定？"
"HC022","JTG-T 3660-2020","direct","16.10.1","174","依据JTG-T 3660-2020，膨胀岩土隧道施工方法的确定应综合考虑哪些因素？"
"HC023","JTG-T 3660-2020","direct","18.3.22","196","依据JTG-T 3660-2020，采用钢筋计监测钢筋应力时，对钢筋计的选型与布置有何具体要求？"
"HC024","JTG-T 3660-2020","direct","11.3.12","117","依据JTG-T 3660-2020，环向止水带的长度应如何确定？纵向止水带确需接头时，连接方法应依据什么确定？"
"HC025","JTG-T 3660-2020","direct","5.3.3","32","依据JTG-T 3660-2020，隧道开挖前应完成哪些测量与标定工作？"
"HC026","JTG-T 3660-2020","direct","15.2.1","144","根据JTG-T 3660-2020，当隧道施工易引发地表下沉、围岩失稳与坍塌或围岩大变形时，可采用哪些围岩加固措施？若单一措施不足以保障围岩稳定与施工安全，应如何处理？"
"HC027","JTG-T 3660-2020","direct","4.1.2","17","依据JTG-T 3660-2020，隧道施工前应完成哪些关键准备工作？"
"HC028","JTG-T 3660-2020","direct","5.4.2","33","依据JTG-T 3660-2020，隧道贯通后，洞内导线、施工中线及高程的实际贯通误差应在何处调整？该调整段长度应如何确定，且其最小推荐长度是多少？"
"HC029","JTG-T 3660-2020","direct","18.1.8","185","依据JTG-T 3660-2020，隧道洞内必测项目测点的初读数应在什么时间范围内取得？"
"HC030","JTG-T 3660-2020","table","5.1.9","25","根据《公路隧道施工技术规范》（JTG/T 3660—2020），二等测量等级下，角度、长度和坐标的数字取位应分别达到什么精度？"
"HC031","JTG-T 3660-2020","direct","14.3.2","140","根据JTG-T 3660-2020，竖井井口的锁口圈应在何时完成？井盖在什么情况下可以打开？"
"HC032","JTG-T 3660-2020","table","6.4.2","42","依据《公路隧道施工技术规范》（JTG/T 3660—2020），洞门端墙和挡土墙模板安装时，对模板表面平整度的质量控制标准中，规定值或允许偏差是多少？检验频率与检验方法分别是什么？"
"HC033","JTG-T 3660-2020","direct","10.2.6","105","依据JTG-T 3660-2020，连拱隧道中墙混凝土施工完成后，对中墙基坑应采取何种处理措施？"
"HC034","JTG-T 3660-2020","multi_condition","16.9.8","174","依据JTG-T 3660-2020，黄土隧道洞门形式推荐采用何种类型？对于湿陷性黄土地基上的隧道洞门，端、翼墙地基应如何处理？若采用换填法，其材料配比、换填深度及施工方式应满足哪些具体要求？"
"HC035","JTG-T 3660-2020","direct","5.1.3","23","根据JTG-T 3660-2020，为避免增加计算工作量和出错风险，投影分带位置应避开隧道的哪个具体部位？"
"HC036","JTG-T 3660-2020","direct","20.0.2","221","根据JTG-T 3660-2020，隧道内路面的材料和施工质量应符合哪些现行规范的规定？"
"HC037","JTG-T 3660-2020","direct","12.2.1","121","根据JTG-T 3660-2020，空气压缩机站的选址应满足哪些基本要求？对于长隧道及特长隧道，其布置方式有何特殊规定？"
"HC038","JTG-T 3660-2020","direct","5.1.5","24","依据JTG-T 3660-2020，对勘测设计用隧道平面和高程控制网桩点，在向施工单位交付时应如何处理遗失或资料与现场不符的情况？"
"HC039","JTG-T 3660-2020","table","6.4.4","42","依据JTG-T 3660-2020，洞门砌体端墙和挡土墙施工中，表面平整度的允许偏差值按材料类型如何规定？"
"HC040","JTG-T 3660-2020","direct","7.3.2","52","依据JTG-T 3660-2020，当采用钢架支撑且围岩变形较大、支撑可能沉落或局部支撑难以拆除时，应如何处理开挖断面与衬砌厚度的关系？"
"HC041","JTG-T 3660-2020","direct","12.4.5","126","依据JTG-T 3660-2020，当单台电动设备容量超过变压器容量的多少比例时，应考虑增加启动附加容量？"
"HC042","JTG-T 3660-2020","table","11.4.2","118","依据JTG-T 3660-2020，洞顶排水沟、截水沟施工中，对断面净空尺寸的允许偏差范围、检验频率及检验方法应如何规定？"
"HC043","JTG-T 3660-2020","direct","16.3.7","159","依据JTG-T 3660-2020，当隧道衬砌结构外存在溶腔时，应采取哪些施工防护措施及配套要求？"
"HC044","JTG-T 3660-2020","table","9.10.1","96","依据JTG-T 3660-2020，喷射混凝土成品厚度的施工控制值应满足哪些具体要求？"
"HC045","JTG-T 3660-2020","direct","11.2.7","110","依据JTG-T 3660-2020，当围岩出现股水出露时，应采取何种处理方式？"
"HC046","JTG-T 3660-2020","direct","15.1.1","144","根据JTG-T 3660-2020，当隧道施工遇到浅埋段、严重偏压地段、围岩自稳性差的地段以及大面积淋水或涌水地段、塌方地段等特殊地层时，应如何处理？"
"HC047","JTG-T 3660-2020","direct","18.5.17","202","依据JTG-T 3660-2020，爆破振动监测中必须监测的物理量是什么？对有特殊要求的情况，还应补充监测哪些参数？"
"HC048","JTG-T 3660-2020","direct","5.1.2","23","根据JTG-T 3660-2020，平面控制网的运算及平差计算应采用何种基准平面？"
"HC049","JTG-T 3660-2020","direct","9.6.6","85","根据JTG-T 3660-2020，模筑混凝土衬砌在哪些特定位置或条件下应设置沉降缝或伸缩缝？"
"HC050","JTG-T 3660-2020","direct","5.5.1","36","根据JTG-T 3660-2020，隧道永久中线点在直线段的设置间距应为多少？其标志形式及后续处理有何要求？"
"HC051","JTG-T 3660-2020","direct","16.10.4","175","依据JTG-T 3660-2020，膨胀岩土隧道开挖后应如何及时支护？在围岩变形较大时可采取何种增强措施？"
"HC052","JTG-T 3660-2020","direct","21.1.1","225","依据JTG-T 3660-2020，当原定洞室及横通道位置的地质条件不适宜时，施工单位应如何处理？"
"HC053","JTG-T 3660-2020","direct","21.2.1","227","依据JTG-T 3660-2020，隧道防火涂料材料的选用与储存运输应满足哪些基本要求？"
"HC054","JTG-T 3660-2020","direct","11.4.4","119","依据JTG-T 3660-2020，隧道衬砌混凝土抗渗性能试验试件的制作与养护要求是什么？其防水质量检验中，每200m衬砌应做多少组试件、每组几个，以及检验方法为何？"
"HC055","JTG-T 3660-2020","table","18.5.3","198","根据JTG-T 3660-2020，对于线路沿线变形特别敏感的超高层建筑、重要古建筑物等对象进行沉降监测时，应采用哪一等级的监测精度？该等级下测点高程误差与相邻测点高程中误差的具体限值是多少？所要求的仪器精度及作业技术标准为何？"
"HC056","JTG-T 3660-2020","direct","5.1.1","23","根据JTG-T 3660-2020，隧道施工测量的平面坐标系和高程系统在一般情况下应如何选择？当测区东西向较长或高程差较大时，应采取何种措施以满足精度要求？"
